team,goal,goal_for,pass,center,shot,in_door,steal,corner_kick,free_kick,off_side,foul,red,yellow,possession
Atl¨¦tico de Madrid,2,3,558,46,18,5,18,8,11,2,15,0,4,59
Atl¨¦tico de Madrid,1,0,288,28,8,2,28,4,26,3,21,0,2,36.2
Atl¨¦tico de Madrid,5,0,486,39,28,10,20,11,14,5,10,0,1,57.4
Atl¨¦tico de Madrid,2,0,361,23,9,3,23,5,16,5,16,0,5,44.4
Atl¨¦tico de Madrid,4,0,547,42,17,6,22,7,16,3,12,0,2,58.4
Atl¨¦tico de Madrid,0,0,280,12,6,3,13,3,14,0,15,0,2,28.7
Real Madrid,5,1,560,27,22,9,14,7,8,4,8,0,1,54.2
Real Madrid,2,1,548,26,18,8,20,7,11,2,10,0,1,60.6
Real Madrid,3,0,680,13,14,7,35,5,5,3,4,0,1,54.2
Real Madrid,1,0,710,23,27,9,24,7,11,1,8,0,3,60.1
Real Madrid,1,0,543,17,8,4,24,6,11,6,11,0,2,53.3
Real Madrid,4,0,600,41,34,12,21,17,7,2,8,0,1,61.8
Monaco,1,0,404,21,4,1,18,3,17,5,16,0,2,48.1
Monaco,0,0,439,27,9,2,30,5,14,2,19,0,3,46.2
Monaco,0,0,383,25,14,2,29,6,18,5,17,0,3,50.7
Monaco,0,1,345,27,15,5,30,7,13,4,16,0,5,43.8
Monaco,1,0,317,10,4,1,17,2,18,3,17,0,1,35.5
Monaco,2,0,361,19,10,3,25,4,17,4,9,0,2,40.1
Arsenal,0,2,498,10,5,1,19,1,8,4,16,0,2,55.9
Arsenal,4,1,469,14,12,6,15,4,10,3,13,1,1,50.9
Arsenal,2,1,603,17,13,4,26,3,14,0,12,0,2,64.5
Arsenal,,,,,,,,,,,,,,
Arsenal,2,0,460,16,9,3,20,6,8,2,14,0,1,45.2
Arsenal,4,1,524,9,13,6,14,4,10,3,15,0,3,47.4
FC Bayern M¨¹nchen,1,0,604,25,21,8,15,6,15,3,8,0,0,57.4
FC Bayern M¨¹nchen,1,0,919,25,21,8,10,12,5,3,8,0,2,77.3
FC Bayern M¨¹nchen,7,1,695,15,22,11,17,6,9,3,6,0,1,65.3
FC Bayern M¨¹nchen,2,0,722,29,23,7,20,7,9,1,11,0,1,70.7
FC Bayern M¨¹nchen,2,3,700,4,7,4,25,0,14,0,15,1,1,55.9
FC Bayern M¨¹nchen,3,0,863,28,26,10,12,8,8,8,5,0,1,72.4
Barcelona,1,0,776,17,18,7,26,8,12,2,15,0,0,71.3
Barcelona,2,3,707,24,15,2,18,8,8,0,9,0,1,62.3
Barcelona,,,,,,,,,,,,,,
Barcelona,2,0,703,12,14,8,16,4,13,3,6,0,3,62.3
Barcelona,4,0,897,24,21,7,17,7,14,2,5,1,1,77.3
Barcelona,3,1,673,13,11,5,21,3,12,1,12,0,0,60.2
Chelsea,1,1,519,26,18,7,17,7,11,2,16,0,2,51.4
Chelsea,1,0,406,28,15,7,37,12,13,6,13,0,4,54.2
Chelsea,,,,,,,,,,,,,,
Chelsea,1,1,600,17,24,10,23,6,10,6,7,0,1,63.6
Chelsea,5,0,688,15,13,8,20,6,7,6,10,0,0,56.5
Chelsea,3,1,578,11,16,5,28,4,14,5,10,0,1,54.5
FC Porto,6,0,650,22,20,12,20,9,13,1,11,0,0,66.1
FC Porto,2,2,595,22,20,10,19,6,12,4,9,0,2,67.8
FC Porto,2,1,479,10,15,4,26,3,8,4,16,0,2,55.1
FC Porto,2,0,424,14,14,4,25,2,23,0,21,0,1,49.2
FC Porto,3,0,705,12,9,4,17,2,18,1,14,0,1,69.4
FC Porto,1,1,626,26,14,4,32,6,15,3,13,0,2,64.8
